Periods: 100
Task Arrival Rate: 10
Task Average Time: 2
Driver Arrival Rate: 15
Driver Average Time: 1
Period: 1
Tasks:9
id	x	y	end	c
1	118.1	82.66	4	25.07
2	79.46	162.76	3	66.04
3	142.13	19.98	2	90.43
4	182.47	109.66	1	83.03
5	70.99	166.38	6	72.44
6	16.52	172.21	1	110.38
7	120.77	175.84	1	78.63
8	171.37	53.61	3	85.12
9	141.8	175.47	3	86.27
Drivers: 12
id	x	y	end	sensitivity
1	158.37	137.16	2	1.95
2	74.73	57.33	1	1.48
3	94.47	38.87	1	1.59
4	36.9	117.37	1	1.94
5	166.28	11.91	3	1.37
6	46.85	61.57	2	1.14
7	58.95	103.55	2	1.22
8	138.73	176.26	2	1.38
9	129.55	111.02	2	0.7
10	175	195.3	1	1.98
11	105.48	180.64	5	1.92
12	33.44	171.01	2	1.46
Period: 2
Tasks:9
id	x	y	end	c
10	156.5	62.38	3	67.88
11	115.62	95.41	3	16.28
12	119.99	90.43	3	22.16
13	112.94	94.39	4	14.1
14	173.8	186.6	2	113.78
15	103.91	124.35	4	24.66
16	44.41	122.06	7	59.81
17	119.51	59.15	3	45.27
18	197.87	28.95	3	120.94
Drivers: 10
id	x	y	end	sensitivity
13	58.33	12.64	4	1.38
14	174.27	93.63	3	1.14
15	174.9	26.6	5	0.84
16	92.91	40.69	3	1.75
17	120.6	88.24	2	1.31
18	179.27	71.81	4	1.09
19	15.37	128.36	2	0.81
20	152.05	76.64	4	1.86
21	159.3	167.23	3	0.69
22	91.47	49.41	3	1.72
Period: 3
Tasks:9
id	x	y	end	c
19	176.46	152.24	3	92.6
20	115.72	153.38	5	55.65
21	198.63	109.35	3	99.07
22	13.6	0.33	6	131.91
23	177.49	108.45	5	77.95
24	135.67	76.71	4	42.6
25	151.64	24.87	7	91.17
26	129.37	75.83	6	38.04
27	44.08	9.52	4	106.37
Drivers: 18
id	x	y	end	sensitivity
23	16.54	11.75	4	1.18
24	51.26	104.61	4	1.56
25	163.77	16.91	4	1.34
26	84.22	143.45	3	0.99
27	69.97	183.69	4	1.88
28	71.04	23.39	4	0.65
29	30.09	185.54	6	1.1
30	64.8	114.25	5	0.64
31	31.11	153.68	3	1.68
32	181.55	15.17	3	0.7
33	79.53	141.95	4	0.93
34	162.33	110.94	4	1.12
35	116.7	8.32	3	1.12
36	167.5	69.98	4	1.11
37	143.79	189.32	4	1.28
38	112.7	159.55	7	1.77
39	187.7	125.98	4	1.57
40	72.09	1.93	3	1.31
Period: 4
Tasks:8
id	x	y	end	c
28	6.83	0.04	9	136.65
29	74.83	195.65	7	98.91
30	145	126.89	4	52.42
31	78.75	104	5	21.62
32	88.89	188.3	7	89
33	26.3	0.69	8	123.67
34	188.3	25.75	7	115.37
35	29.72	166.99	8	97.09
Drivers: 19
id	x	y	end	sensitivity
41	66.58	24.42	5	0.53
42	140.86	120.39	5	0.75
43	115.42	119.56	4	2
44	54.72	44.81	5	0.8
45	109.95	47.47	6	0.96
46	115.06	96.87	6	0.84
47	64.77	34.79	5	1.91
48	28.16	58.05	5	0.58
49	35.84	180.65	4	0.94
50	103.2	104.48	5	1.09
51	122.09	125.35	6	0.79
52	187.22	179.41	6	0.55
53	155.42	172.29	7	0.73
54	103.42	92.08	5	1.78
55	100.07	177.93	4	1.04
56	21.16	189.77	5	0.62
57	54.83	88.37	6	1.45
58	96.78	3.1	6	0.89
59	35.01	17.45	5	0.67
Period: 5
Tasks:10
id	x	y	end	c
36	14.57	180.47	5	117.36
37	170.26	129.19	11	76.08
38	125.25	139.11	10	46.55
39	75.02	149.94	6	55.84
40	57.94	61.83	5	56.8
41	40.94	196.24	8	112.92
42	15.38	111.13	7	85.35
43	45.98	69.98	5	61.8
44	67.21	194.78	7	100.29
45	91.39	18.28	7	82.17
Drivers: 18
id	x	y	end	sensitivity
60	49.05	124.16	6	1.41
61	13.54	73.59	5	1.58
62	121.14	45.69	5	1.14
63	149.51	81.34	6	1.56
64	155.95	197.95	5	0.88
65	64.62	65.89	7	1.82
66	95	95.41	6	0.97
67	0.15	197.16	5	1.68
68	71.44	181.16	5	0.52
69	140.49	84.07	6	1.96
70	90.71	159.87	6	1.98
71	103.76	81.14	5	0.88
72	53.98	164.79	7	0.76
73	167.03	86.06	7	1.94
74	70.15	93.92	8	1.86
75	186.68	151.85	5	1.65
76	105.3	144.26	6	1.64
77	90.89	151.37	8	1.2
Period: 6
Tasks:14
id	x	y	end	c
46	114.42	16.11	9	85.12
47	20.11	149.59	7	94.03
48	30.66	130.31	9	75.68
49	197.91	180.7	8	126.88
50	79.14	187.01	8	89.48
51	84.33	171.14	6	72.85
52	68.65	134.95	8	46.95
53	62.71	2.14	6	104.72
54	73.43	43.81	10	62.16
55	45.58	101.15	9	54.43
56	144.12	156.32	8	71.54
57	16.53	29.23	7	109.43
58	173.28	111.98	7	74.25
