Periods: 100
Task Arrival Rate: 10
Task Average Time: 2
Driver Arrival Rate: 15
Driver Average Time: 2
Period: 1
Tasks:14
id	x	y	end	c
1	93.02	77.59	3	23.47
2	54.51	56.41	4	63
3	164.05	30.71	1	94.36
4	91.1	82.37	3	19.75
5	163.57	37	4	89.5
6	58.74	38.89	3	73.73
7	165.47	100.01	3	65.47
8	118.61	120.07	4	27.37
9	122.32	190.38	3	93.1
10	160.17	56.41	5	74.3
11	65.98	94.1	1	34.53
12	81.13	119.22	2	26.93
13	153.68	199.62	2	113.16
14	43.72	140.75	3	69.48
Drivers: 19
id	x	y	end	sensitivity
1	175.53	48.91	5	0.95
2	136	136.84	2	1.12
3	78.67	2.74	2	0.74
4	95.73	62.78	3	1.74
5	165.87	63.45	2	0.99
6	121.28	18.58	2	0.58
7	69.9	179.43	5	1.36
8	186.11	158.11	3	1.27
9	125.46	138.07	3	0.79
10	122.17	58.9	2	1.72
11	142.71	13.67	1	1.45
12	15.32	98.52	2	1.71
13	176.99	188.2	2	1.92
14	44.77	196.66	5	0.74
15	57.73	176.94	2	1.63
16	130.85	123.65	3	1.12
17	124.56	120.52	5	0.79
18	120.84	44.42	4	1.32
19	130.94	74.75	4	0.64
Period: 2
Tasks:10
id	x	y	end	c
15	99.89	69.28	4	30.72
16	137.16	53.77	4	59.31
17	99.08	17.37	5	82.64
18	29.26	17.39	4	108.76
19	136.3	77.74	4	42.58
20	128.55	92.55	5	29.51
21	58.62	126.33	4	49.05
22	13.65	84.62	4	87.71
23	77.01	36.02	3	67.99
24	91.1	113.7	6	16.34
Drivers: 14
id	x	y	end	sensitivity
20	18.62	184.16	4	1.41
21	129.22	45.26	5	1.95
22	27.38	163.56	3	1.74
23	5.45	41.16	3	1.47
24	181.47	58.21	5	1.54
25	66.23	115.01	5	0.88
26	99.81	99.73	3	0.95
27	133.82	149.56	2	1.23
28	10.72	103.05	3	1.83
29	169.31	110.57	3	0.99
30	46.73	115	6	1.29
31	85.46	182.84	6	0.68
32	116.64	91.66	3	0.62
33	188.62	83.85	3	0.91
Period: 3
Tasks:9
id	x	y	end	c
25	79.88	58.72	4	45.92
26	162.22	14.69	6	105.59
27	73.79	17.06	5	86.98
28	58.29	45.73	5	68.45
29	189.1	96.77	7	89.16
30	158.96	25.22	3	95.23
31	149.41	7.89	4	104.53
32	90.92	84.56	7	17.91
33	198.49	8.26	5	134.6
Drivers: 15
id	x	y	end	sensitivity
34	69.53	139.32	5	1.87
35	89.87	131.79	4	1.68
36	149.42	29.01	9	0.67
37	40.02	179.65	4	0.87
38	116.01	197.88	6	1.49
39	179.89	89.74	6	1.28
40	11.28	151.36	7	1.3
41	186.81	122.4	6	0.59
42	177.01	65.9	3	1.3
43	29.61	85.06	5	1.15
44	168	93.58	6	1.11
45	152.45	178.38	6	0.76
46	143.4	38.35	3	1.97
47	99.16	191.74	3	0.82
48	176.73	43.92	7	1.62
Period: 4
Tasks:7
id	x	y	end	c
34	105.61	10.5	7	89.68
35	6.81	106.67	6	93.43
36	55.96	194.6	4	104.35
37	96.12	38.91	8	61.21
38	117.73	139.35	6	43.16
39	81.54	178.09	5	80.24
40	61.37	93.57	6	39.16
Drivers: 16
id	x	y	end	sensitivity
49	70	198.93	5	1.19
50	82.14	144.21	5	1.87
51	66.87	155.1	4	1.67
52	80.11	67.44	5	1.37
53	8.56	129.64	7	1.63
