Periods: 100
Task Arrival Rate: 10
Task Average Time: 1
Driver Arrival Rate: 15
Driver Average Time: 3
Period: 1
Tasks:8
id	x	y	end	c
1	186.6	99.8	2	86.6
2	79.4	108.09	1	22.13
3	90.41	167.6	1	68.28
4	119.06	116.49	2	25.2
5	116.69	134.09	1	37.96
6	134.2	139.71	1	52.41
7	120.81	182.84	1	85.41
8	45.06	17.74	1	98.92
Drivers: 17
id	x	y	end	sensitivity
1	142.97	60.2	2	1.3
2	34.52	130.35	3	0.63
3	78.93	135.19	5	0.9
4	119.75	36.08	3	1.58
5	15.32	180.22	8	0.87
6	126.97	154.45	6	1.83
7	47.27	78.98	3	1.63
8	164.88	105.05	3	1.21
9	139.04	64.98	3	0.88
10	38.26	123.68	3	1.86
11	89.88	147.07	3	1.84
12	68.87	46.04	4	0.95
13	11.09	185.83	2	1.4
14	108.53	83.99	10	1.22
15	130.98	33	9	0.5
16	49.47	22.24	5	1.13
17	143.04	103.17	3	1.89
Period: 2
Tasks:8
id	x	y	end	c
9	134.73	108.89	2	35.85
10	51.54	54.02	3	66.8
11	60.47	33.98	3	76.95
12	50.5	102.73	2	49.58
13	10.13	82.46	3	91.57
14	163.56	100.22	2	63.56
15	167.59	154.87	3	87.06
16	40.53	195.84	2	112.79
Drivers: 13
id	x	y	end	sensitivity
18	45.94	99.19	5	1.52
19	14.28	148.9	7	0.74
20	83.05	180.45	7	0.8
21	118.16	128.87	8	0.93
22	11.37	76.92	3	1.74
23	50.78	11.3	4	0.98
24	115.7	143.04	10	1.72
25	97.87	86.89	7	1
26	161.81	90.83	4	0.93
27	197.97	6.41	4	1.8
28	102.54	89.26	3	1.4
29	156	185.32	3	1.49
30	175.46	6.93	4	0.86
Period: 3
Tasks:9
id	x	y	end	c
17	79.83	93.99	3	21.05
18	139.92	197.18	5	105.06
19	102.29	43.43	4	56.62
20	116.44	60.87	5	42.44
21	159.29	24.99	7	95.61
22	133.62	57.92	4	53.86
23	151.76	78.81	4	55.93
24	9.68	102.52	6	90.36
25	113.77	180.16	3	81.33
Drivers: 15
id	x	y	end	sensitivity
31	49.53	38.72	8	1.62
32	169.68	11.81	4	1.53
33	186.48	140.71	3	1.32
34	54.68	187.64	9	1.33
35	25.07	76.67	4	1.88
36	111.56	61.15	11	0.62
37	83.7	158.04	3	0.88
38	60.67	196.97	6	0.77
39	116.46	183.08	7	1.64
40	7.99	116.59	3	0.84
41	86.21	21.6	4	0.68
42	49.2	30.85	6	0.86
43	112.61	50.4	9	0.98
44	173.99	168.47	4	1.43
45	181.88	110.19	5	1.55
Period: 4
Tasks:14
id	x	y	end	c
26	164.76	39.97	4	88.3
27	195.58	192.81	5	133.23
28	55.72	23.75	4	88.17
29	50.77	80.04	4	53.12
30	124.29	195.17	5	98.22
31	76.09	159.46	5	64.09
32	75.3	28.18	6	75.95
33	19.41	136.26	4	88.37
34	76.56	57.55	5	48.49
35	73.44	23.94	7	80.56
36	190.1	104.6	4	90.22
37	78.37	71.43	5	35.83
38	35.02	93.32	5	65.32
39	142.83	39.93	6	73.78
Drivers: 18
id	x	y	end	sensitivity
46	186.75	114.73	8	1.4
47	183.33	116.5	6	1.62
48	80.9	14.95	5	0.69
49	46.38	134.66	6	1.94
50	126.92	190.17	8	1.16
51	179.66	174.06	6	1.58
52	146.24	166.06	5	1.02
53	97.27	173.29	8	1.16
54	118	34.87	6	0.67
55	45.25	65.84	7	1.03
56	108.55	176.62	8	0.54
57	196.08	178.31	7	1.91
58	88.57	185.82	6	1.54
59	6.9	178.23	9	0.54
60	89.38	160.92	6	1.86
