Periods: 100
Task Arrival Rate: 15
Task Average Time: 2
Driver Arrival Rate: 15
Driver Average Time: 1
Period: 1
Tasks:15
id	x	y	end	c
1	43.99	177	2	95.22
2	95.07	162.34	3	62.53
3	45.11	178.96	1	96.16
4	182.22	170.69	2	108.43
5	122.94	35.03	4	68.9
6	52.48	147.81	3	67.41
7	71.46	125.58	4	38.33
8	32.6	73.24	5	72.52
9	163.31	20.08	3	101.96
10	23.92	103.5	2	76.16
11	33.16	125.89	4	71.68
12	1.51	176.79	4	124.89
13	180.8	139.98	4	90.15
14	150.76	64.22	4	62.1
15	162.31	139.82	2	73.95
Drivers: 9
id	x	y	end	sensitivity
1	73.94	180.37	2	1.31
2	172.54	20.68	4	1.63
3	162.7	159.33	1	1.1
4	165.38	154.56	4	1.82
5	22.69	83.47	3	1.18
6	98.25	165.11	1	0.88
7	74.24	135.54	1	0.61
8	104.44	33.68	2	0.88
9	66.02	125.62	3	1.82
Period: 2
Tasks:13
id	x	y	end	c
16	199.51	83.04	4	100.94
17	22.42	193.83	3	121.75
18	1.49	30.55	5	120.53
19	149.62	85.62	5	51.66
20	155.48	128.99	4	62.6
21	108.1	60.75	3	40.08
22	111.4	78.54	5	24.3
23	38.2	144.57	6	76.2
24	23.41	60.18	3	86.32
25	19.9	38.27	4	101.13
26	74.79	157.11	2	62.43
27	147.45	124.16	4	53.25
28	77.38	117.64	2	28.69
Drivers: 15
id	x	y	end	sensitivity
10	107.33	53.82	3	1.73
11	73.58	58.66	3	0.73
12	110.11	164.07	4	0.78
13	35.13	108.07	2	1.41
14	15.17	50.64	3	0.77
15	38.54	182.46	2	0.78
16	102.24	72.22	3	1.11
17	55.76	49.47	2	0.84
18	103.78	19.73	3	0.93
19	80.54	185.34	4	0.84
20	135.77	152.98	2	0.59
21	89.63	40.98	2	1.98
22	127.85	15.29	3	1.39
23	68.7	108.06	5	0.59
24	36.19	127.66	4	1.22
Period: 3
Tasks:15
id	x	y	end	c
29	13.88	199.67	5	131.72
30	149.65	119.21	8	53.24
31	175.26	32.26	8	101.26
32	152.55	47.3	3	74.42
33	74.46	42.56	5	62.86
34	106.48	94.4	8	8.56
35	102.01	120.31	6	20.41
36	46.1	156.27	3	77.92
37	46.98	154.48	6	76.02
38	149.07	74.33	4	55.38
39	107.07	135.16	7	35.86
40	51.79	126.31	8	54.92
41	181.92	189.55	4	121.37
42	129.75	177.56	4	83.07
43	161.71	174.82	3	96.99
Drivers: 17
id	x	y	end	sensitivity
25	66.52	55.37	4	1.14
26	49.13	47.85	3	0.72
27	138.1	192.15	7	0.57
28	134.01	91.61	7	1.51
29	12.39	185.49	3	1.85
30	59.83	15.21	3	0.81
31	73.52	125.27	6	1.54
32	199.47	115.36	3	1.36
33	186.13	5.01	3	1.47
34	177.58	186.24	6	1.37
35	50.53	6.07	3	1.87
36	135.05	37.99	4	1.93
37	90.22	21.64	3	1.26
38	122.32	30.45	3	1.28
39	189.78	195.46	4	1.57
40	141.14	115.03	5	1.19
41	5.3	77.12	4	1.86
Period: 4
Tasks:11
id	x	y	end	c
44	91.19	23.53	6	76.98
45	78.71	116.46	5	26.91
46	59.02	8.28	5	100.46
47	59.05	87.22	4	42.9
48	89.47	65.69	5	35.89
49	137.43	64.72	5	51.44
50	5.15	48.21	6	108.07
51	55.86	49.82	6	66.83
52	134.11	174.02	6	81.5
53	154.27	87.84	5	55.62
54	95.43	189.1	5	89.22
Drivers: 13
id	x	y	end	sensitivity
42	83.56	73.15	4	1.04
43	136.92	74.57	6	0.84
44	90.13	63.26	4	0.89
45	169.19	143.45	6	1.67
46	18.9	169.42	5	1.08
47	16.54	153.92	6	0.61
48	88.57	119.73	5	1.6
49	125.04	98.24	4	0.53
50	86.5	50.66	5	1.9
51	82.32	136.87	7	0.77
52	191.42	190.63	5	1.86
53	138.69	146.92	6	1.05
54	122.02	136.37	5	1.56
Period: 5
Tasks:19
id	x	y	end	c
55	172.29	123.4	9	75.98
56	96.77	117.86	8	18.15
57	198.32	110.21	8	98.85
58	92.64	140	5	40.67
59	184.11	128.42	6	88.78
60	21.81	100.72	7	78.19
61	100.27	94.24	7	5.77
62	136.12	59.06	8	54.6
63	81.86	187.84	7	89.69
64	2.05	129.57	6	102.32
65	182.56	100.06	6	82.56
66	157.28	81.09	6	60.32
67	171.73	190.87	5	115.77
68	68.28	15.48	7	90.28
69	25.68	11.55	10	115.53
70	131.98	46.46	7	62.36
71	136.88	71.18	7	46.81
72	82.6	122.73	6	28.63
73	164.45	155.66	5	85.16
Drivers: 12
id	x	y	end	sensitivity
55	6.72	17.4	6	1.38
56	98.34	159.07	5	0.8
57	108.77	99.97	6	1.09
58	34.72	58.44	6	0.96
59	174.11	122.37	5	0.67
60	50.11	26.54	6	1.09
61	39.59	108.64	5	0.53
62	14.83	65.2	7	0.7
63	166.39	169.09	7	0.52
64	144.33	150.49	7	1.2
65	51.08	84.31	9	1.47
66	28.17	150.36	6	0.84
Period: 6
Tasks:14
id	x	y	end	c
74	162.36	74.71	9	67.29
75	119.6	42.36	8	60.88
76	3.03	177.04	7	123.85
77	154.11	52.34	8	72.11
78	61.07	175.58	10	85.02
79	129.53	159.03	6	66
80	115.17	163.46	10	65.25
81	93.82	155.91	7	56.25
82	150.81	11.49	7	102.06
83	149.74	137.28	9	62.16
84	180.02	106.78	9	80.31
85	118.63	102.05	13	18.74
86	147.44	173.42	8	87.41
87	64.5	53.41	9	58.57
Drivers: 25
id	x	y	end	sensitivity
67	63.55	114.43	6	1.08
68	32.19	8.57	7	1.65
69	100.92	163.02	6	1.9
70	75.95	101	7	1.73
71	191.86	186.17	7	0.74
72	71.64	194.87	7	1.27
73	74.35	48.08	6	1.07
74	46.83	62.43	6	0.82
75	74.31	81.06	6	0.64
76	67.63	128.89	8	1.51
77	144.83	142.31	6	0.79
78	40.48	133.96	6	0.76
79	107.5	20.16	8	1.75
80	150.06	100.05	8	1.66
81	163.59	55.54	6	1.32
82	154.69	170.86	8	0.93
83	21.44	162.25	7	0.68
84	3.22	20.24	7	1.64
85	69.56	19.27	8	1.79
86	115.49	89.79	9	0.85
87	35.95	145.27	7	1.85
88	77.22	140.34	7	1.4
89	13.18	190.42	7	1.55
90	64.59	131.59	7	0.79
91	56.76	162.71	6	0.68
Period: 7
Tasks:18
id	x	y	end	c
88	50.83	41.28	8	76.59
89	192.05	121.57	7	94.54
90	25.21	146.06	8	87.84
91	64.89	48.36	7	62.45
92	17.96	71.3	10	86.92
93	187.5	142.81	8	97.41
94	177.8	105.5	10	77.99
95	192.57	4.64	9	132.9
96	144.8	105.08	10	45.09
97	176.62	39.35	11	97.72
98	169.96	146.47	9	83.99
99	81.83	85.79	8	23.07
100	24.32	52.75	7	89.22
101	102.66	124.92	10	25.06
102	120.92	16.75	8	85.84
103	17.56	4.49	10	126.17
104	189.78	95.84	9	89.88
105	26.39	181.42	8	109.76
Drivers: 12
id	x	y	end	sensitivity
92	117.59	55.57	8	0.97
93	63.34	69.48	8	0.56
94	75.72	44.52	7	0.61
95	105.37	21.71	9	1.62
96	37.48	9.91	8	0.72
97	179.79	146.97	8	0.64
98	144.66	71.37	9	0.74
99	141.26	62.39	8	0.6
100	18.76	75.42	7	1.24
101	96.44	29.72	7	1.32
102	96.88	74.71	9	1.11
103	116.75	101.94	10	0.89
Period: 8
Tasks:16
id	x	y	end	c
106	135.98	14.76	8	92.52
107	72.29	130.48	9	41.19
108	144.41	5.45	8	104.46
109	132.32	27.59	9	79.3
110	172.53	183.32	10	110.47
111	97.11	25.73	10	74.33
112	91.74	91.79	9	11.65
113	86.25	197.17	12	98.14
114	139.43	196.24	11	104
115	141.15	67.03	9	52.73
116	58.74	165.97	8	77.81
117	143.24	62.08	10	57.51
118	4.86	168.59	11	117.29
119	134.73	171.74	9	79.7
120	49.86	63.04	11	62.29
121	29.3	8.69	12	115.48
Drivers: 14
id	x	y	end	sensitivity
104	130.86	23.6	8	1.64
105	89.21	98.7	8	0.92
106	69.35	157.94	10	1.7
107	188.62	171.17	8	1.7
108	161.9	157.64	8	0.6
109	17.48	113.64	8	0.69
110	186.99	15.24	11	0.57
111	90.85	43.91	8	1.17
112	3.78	188.48	9	0.73
113	55.53	37.79	10	1.89
114	139.58	145.4	9	1.66
115	197.75	195.89	11	0.73
116	110.34	121.91	8	0.58
117	10.6	71.49	9	0.74
Period: 9
Tasks:15
id	x	y	end	c
122	44.95	20.77	11	96.48
123	19.41	44.08	10	98.09
124	69.07	67.69	10	44.73
125	189.54	68.56	11	94.9
126	137.28	9.7	11	97.69
127	199.56	113.98	10	100.54
128	170.43	99.54	13	70.43
129	23.42	18.97	10	111.49
130	72.03	197.18	15	101.13
131	93.51	136.52	9	37.09
132	152.14	5.23	10	108.17
133	130.8	16.12	9	89.36
134	167.21	113.5	11	68.55
135	104.19	155.48	12	55.64
136	178.79	73.78	11	83.04
Drivers: 16
id	x	y	end	sensitivity
118	192.55	55.83	11	0.6
119	155.45	198.13	9	1.52
120	182.47	83.08	11	1.75
121	94.09	131.57	10	1.52
122	41.77	51.32	12	1.19
123	59.86	154.3	10	0.92
124	195.16	174.03	12	0.82
125	82.79	130.77	9	1.81
126	59.77	144.08	12	0.64
127	28.66	4.92	10	1.79
128	80.58	97.78	11	0.64
129	180.5	2.63	9	1.86
130	146.86	19.47	10	1.66
131	69.32	52.8	9	1.39
132	95.9	22.72	12	0.61
133	52.71	104.87	10	0.93
Period: 10
Tasks:16
id	x	y	end	c
137	189.23	69.16	11	94.41
138	98.8	188.99	11	89
139	167.03	177.99	12	102.84
140	168.79	35.2	11	94.5
141	100.1	57.68	11	42.32
142	36.5	169.13	13	93.87
143	21.43	90.62	12	79.13
144	131.39	3.62	13	101.36
145	25.48	51.65	12	88.83
146	122.97	108.41	17	24.46
147	134.4	17.26	12	89.61
148	39.01	101.75	11	61.02
149	89.2	83.61	12	19.63
150	159.13	111.08	10	60.16
151	135.63	131.48	10	47.54
152	185.62	63.51	13	93.07
Drivers: 18
id	x	y	end	sensitivity
134	12.34	141.46	11	1.25
135	94.12	85.49	11	1.6
136	94.69	151.49	12	1.05
137	44.41	18.69	10	1.44
138	110.01	195.59	10	1.12
139	139.55	30.21	10	1.74
140	20.93	122.1	10	0.86
141	22.71	116.29	11	1.45
142	9.85	169.51	12	1.39
143	168.75	189.2	12	1.03
144	61.98	55.65	13	1.65
145	178.97	179.01	12	1.17
146	89.97	110.83	11	1.25
147	66.6	33.55	10	1.93
148	105.92	111.08	11	1.12
149	35.36	63.27	10	1.23
150	82.97	120.96	10	0.55
151	146.37	104.41	11	1.64
Period: 11
Tasks:11
id	x	y	end	c
153	14.1	113.69	11	86.98
154	178.55	102.22	12	78.58
155	61.44	136.33	16	52.98
156	70.87	61.82	14	48.02
157	192.74	95.17	15	92.87
158	91.67	41	12	59.59
159	91.5	101.34	12	8.6
160	171.03	164.43	12	95.9
161	57.25	189.91	11	99.56
162	34.79	134.34	12	73.7
163	43.63	64.54	11	66.6
Drivers: 14
id	x	y	end	sensitivity
152	150.67	89.93	11	1.62
153	187.2	49.18	11	1.21
154	175.71	130.98	11	0.77
155	132.77	42.82	13	1.99
156	53.02	149.74	12	1.5
157	27.24	16.62	13	1.85
158	125.5	173.82	13	1.21
159	155.42	148.37	12	1.18
160	98.25	83.4	13	1.6
161	44.51	175.13	13	0.59
162	118.2	48.53	11	1.32
163	30.45	188.28	14	1.85
164	0.85	23.18	11	1.77
165	90.03	73.08	12	1.93
Period: 12
Tasks:11
id	x	y	end	c
