Periods: 100
Task Arrival Rate: 15
Task Average Time: 3
Driver Arrival Rate: 15
Driver Average Time: 2
Period: 1
Tasks:16
id	x	y	end	c
1	10.35	14.98	5	123.55
2	70.33	135.6	5	46.34
3	192.12	187.15	2	126.81
4	125.4	167.92	5	72.51
5	38.54	196.59	5	114.49
6	141.55	42.99	3	70.54
7	188.74	141.8	4	98.09
8	91.21	185.15	4	85.6
9	97.62	34.03	7	66.01
10	5.86	54.58	7	104.52
11	38.61	50.69	2	78.74
12	142.57	156.63	4	70.85
13	125.16	16.83	4	86.89
14	22.73	161.29	4	98.63
15	69.7	45.69	4	62.19
16	120.32	56.93	3	47.62
Drivers: 13
id	x	y	end	sensitivity
1	95.48	26.15	2	1.94
2	46.34	176.78	2	1.39
3	151.57	129.73	5	1.68
4	166.83	192.94	2	0.52
5	165.57	75.47	3	1.27
6	197.47	60.18	1	1.36
7	26.99	91.64	4	1.79
8	126.98	73.77	4	1.71
9	164.7	161.16	4	1.27
10	83.15	81.54	2	0.84
11	135.51	4.46	5	1.37
12	92.1	108.72	6	0.75
13	171.54	86.36	3	1.3
Period: 2
Tasks:17
id	x	y	end	c
17	116.81	47.83	4	54.81
18	122.65	176.15	6	79.45
19	168.29	180.61	2	105.65
20	132.25	163.2	7	70.95
21	122.21	45.49	8	58.86
22	21.38	172.58	3	107
23	151.09	121.08	4	55.27
24	21.99	43.37	5	96.4
25	161.79	5.66	5	112.77
26	140.22	110.04	3	41.45
27	118.66	98.56	6	18.72
28	90.63	111.91	5	15.15
29	106.78	77.23	6	23.76
30	177.87	5.13	6	122.74
31	22.49	62.85	4	85.95
32	149.19	91.06	4	50
33	138.38	19.02	4	89.61
Drivers: 16
id	x	y	end	sensitivity
14	99.4	144.91	2	1.22
15	92.98	158.66	2	1.85
16	127.91	29.62	2	1.64
17	14.12	83.33	3	1.67
18	72.46	171.02	3	1.73
19	154.03	77.06	3	0.7
20	2.04	95.62	5	1.8
21	109.95	42.47	4	1.55
22	8.48	101.98	6	0.57
23	52.03	31.91	3	0.77
24	154.6	99.56	2	1.86
25	37.99	100.15	3	1.88
26	130.23	7.06	5	1.82
27	122.49	196.27	4	1.24
28	37.38	132.72	5	1.26
29	120.15	145.56	2	1.91
Period: 3
Tasks:15
id	x	y	end	c
34	104.36	172.13	4	72.26
35	198.88	123.77	6	101.7
36	42.41	61.37	5	69.35
37	99.05	151.84	10	51.85
38	9.75	136.8	7	97.46
39	112.72	193.81	6	94.67
40	9.37	17.48	5	122.57
41	47.66	137.66	6	64.48
42	177.8	9	4	119.72
43	178.39	124.78	6	82.21
44	98.01	16.64	7	83.38
45	4.97	44.49	4	110.05
46	198.64	10.58	6	133.14
47	8.75	60.45	3	99.45
48	183.63	53.31	4	95.78
Drivers: 15
id	x	y	end	sensitivity
30	39.21	145.96	5	0.74
31	132.61	51.82	3	0.86
32	0.84	186.15	4	0.76
33	123.61	181.85	5	0.55
34	197.55	156.25	3	0.84
35	149.98	121.38	7	1.58
36	107.24	137.71	5	0.95
37	61.44	63.58	4	1.8
38	131.13	127.09	4	1.3
39	11.56	141.64	5	0.73
40	85.23	39.64	7	1.71
41	129.37	180.26	5	0.6
42	82.4	161.29	4	0.78
43	43.43	181.54	4	1.21
44	49.54	82.52	5	1.81
Period: 4
Tasks:21
id	x	y	end	c
49	19.69	101.56	7	80.33
50	138.84	187.25	5	95.5
51	130.81	186.99	7	92.28
52	111.23	168.62	9	69.53
53	42.72	179.67	4	98.12
54	91.42	163.83	9	64.4
55	139.57	184.01	7	92.86
56	199.98	88.96	6	100.59
57	137.57	165.22	6	75.27
58	23.46	79.86	9	79.15
59	199.19	53.72	6	109.46
60	114.04	194.27	5	95.31
61	64.67	23.9	7	83.9
62	105.04	36.34	5	63.86
