Periods: 100
Task Arrival Rate: 15
Task Average Time: 2
Driver Arrival Rate: 15
Driver Average Time: 1
Period: 1
Tasks:14
id	x	y	end	c
1	135.45	179.96	4	87.47
2	31.1	179.64	2	105.31
3	19.72	28.18	6	107.72
4	73.07	77.41	2	35.15
5	61.67	183.58	2	91.95
6	109.9	190.72	3	91.26
7	18.82	142.8	7	91.77
8	74.45	159.14	2	64.42
9	4.09	69.57	4	100.62
10	153.49	36.12	2	83.32
11	171.75	168.82	4	99.42
12	151.72	157.8	5	77.56
13	52.81	69.42	3	56.23
14	118.38	20.24	2	81.85
Drivers: 22
id	x	y	end	sensitivity
1	9.05	60.78	3	0.53
2	191.95	137.59	1	1.64
3	33.47	180.25	2	1.66
4	147.92	91.55	2	0.67
5	40.36	90.78	3	1.22
6	47.96	12.96	5	0.52
7	111.72	11.46	1	1.23
8	71.02	113.14	1	1.51
9	186.5	74.55	3	0.93
10	5.98	15.73	5	1.98
11	101.03	62.18	2	1.73
12	30.64	85.07	2	0.7
13	135.85	11.78	3	1.88
14	101.06	159.08	4	0.73
15	179.57	40.7	6	1.35
16	192.36	28.24	3	1.25
17	45.41	37.44	1	1.64
18	133.59	107.28	3	0.63
19	104.83	126.49	1	1.53
20	123.22	135.18	2	1.88
21	179.2	95.12	3	0.52
22	66.82	59.14	2	1.95
Period: 2
Tasks:20
id	x	y	end	c
15	1.62	21.66	3	125.76
16	136.04	27.79	4	80.7
17	131.56	94.37	4	32.06
18	53.34	65.07	3	58.29
19	178.15	19.76	6	112.01
20	69.32	59.38	5	50.9
21	166.07	22.87	4	101.56
22	174.33	142.17	5	85.46
23	94.97	107.42	2	8.96
24	24.68	149.04	3	89.88
25	87.12	82.55	6	21.69
26	50.19	133.82	3	60.21
27	9.36	11.98	4	126.35
28	125.01	135.23	3	43.2
29	139.55	99.9	2	39.55
30	35.53	173.95	4	98.11
31	41.34	72.09	3	64.96
32	105.09	167.15	3	67.34
33	92.19	71.31	5	29.73
34	18.65	76.74	5	84.61
Drivers: 11
id	x	y	end	sensitivity
23	133.02	121.3	3	1.08
24	112.63	197.39	3	1.48
25	160.93	73.12	6	1.47
26	32.77	20.16	2	1.92
27	154.56	151.62	4	0.61
28	119.79	128.56	2	1.78
29	49.11	70.89	3	1.72
30	101.17	15.31	4	1.15
31	1.93	63.21	4	0.9
32	43.02	51.16	4	1.91
33	88.33	61.99	4	1.17
Period: 3
Tasks:16
id	x	y	end	c
35	159	136.57	4	69.41
36	72.34	179.26	3	83.95
37	22.7	56.62	3	88.64
38	72.91	48.18	4	58.47
39	174.97	106.29	4	75.23
40	15.64	39.05	4	104.07
41	191.62	37.51	5	110.9
42	94.17	142.44	3	42.84
43	168.72	27.54	6	99.86
44	53.96	105.18	5	46.33
45	64.61	151.48	3	62.47
46	17.01	197.53	5	128.06
47	128.55	26.7	7	78.66
48	197.04	19.36	4	126.17
49	45.03	152.88	6	76.28
50	169.16	132.38	4	76.36
Drivers: 8
id	x	y	end	sensitivity
34	83.43	47.09	4	0.97
35	111.53	87.41	5	1.99
36	56.1	23.18	3	0.61
37	126.76	188.79	5	1.28
38	155.85	74.17	4	1.87
39	90.3	72.04	3	0.53
40	185.03	114.08	3	1.67
41	58.87	29.63	6	0.9
Period: 4
Tasks:18
id	x	y	end	c
51	60.4	102.34	7	39.67
52	76.75	95.69	4	23.65
53	159.86	71.7	5	66.21
54	186.89	25.76	7	114.29
55	150.08	149.08	5	70.12
56	163.35	80.85	6	66.18
57	149.48	166.53	8	82.91
58	31.76	163.44	6	93.17
59	168.53	133.06	7	76.09
60	172.68	2.29	6	121.78
61	184.76	132.78	5	90.88
62	186.34	52.6	6	98.5
63	7.41	137.63	6	99.94
64	14.37	127.76	6	90.02
65	136.63	194.52	6	101.37
66	154.11	76.93	9	58.82
67	49.07	181.94	5	96.48
68	2.54	172.66	5	121.56
Drivers: 12
id	x	y	end	sensitivity
42	163.19	191.2	5	1.78
43	98.8	35.52	5	0.84
44	181.78	142.34	6	1.39
45	162.85	181.55	5	0.57
46	34.75	165.02	4	0.85
47	138.17	168.82	6	1.88
48	2.95	140.26	6	1.48
49	37.79	160.45	5	1.07
50	28.6	42.9	5	0.6
51	169.83	64.02	5	0.73
52	145.73	109.21	6	0.9
53	102.74	55.64	4	1.78
Period: 5
Tasks:17
id	x	y	end	c
69	56.02	182.61	6	93.59
70	23.25	88.22	9	77.65
71	60.9	48.37	10	64.76
72	14.99	164.28	6	106.58
73	128.97	86.84	8	31.82
74	28.11	24.58	7	104.19
75	101.45	106.9	6	7.05
76	155.86	56.15	6	71.02
77	101.46	159.7	8	59.72
78	98.67	172.29	6	72.3
79	127.21	132.66	6	42.51
80	153.59	76.47	6	58.53
81	194.97	67.94	6	100.24
82	122.4	31.94	10	71.65
83	33.58	92.87	10	66.8
84	28.92	86.32	5	72.38
85	24.08	171.76	7	104.47
Drivers: 17
id	x	y	end	sensitivity
54	61.28	183.32	5	0.79
55	87.39	103.06	5	0.85
56	47.85	103.98	7	0.63
57	87.69	26.58	7	0.98
58	108.68	109.79	6	1.04
59	59	14.82	7	1.88
60	43.9	170.35	8	0.77
61	81.52	146.23	6	0.99
62	79.15	179.91	6	1.79
63	53.14	27.15	6	0.73
64	54.62	183.37	6	1.94
65	4.14	96.93	8	1.06
66	135.26	10.04	7	1.33
67	129.66	138.04	8	1.62
68	113.38	141.34	6	1.08
69	192.34	181.89	7	1.48
70	148.27	44.52	7	1.48
Period: 6
Tasks:13
id	x	y	end	c
86	51.83	196.88	11	108.19
87	131.84	182.53	6	88.46
88	189.53	60.31	8	97.93
89	189.68	120.71	9	92.04
90	181.17	57.22	6	91.75
91	113.87	119.29	7	23.76
92	118.91	170.11	7	72.62
93	157.35	137.62	8	68.59
94	4.08	110.1	7	96.45
95	16.12	12.6	8	121.14
96	43.18	1.73	9	113.51
97	131.14	15.38	8	90.17
98	57.27	162.62	8	75.81
Drivers: 11
id	x	y	end	sensitivity
71	23.55	96.43	6	1.8
72	187.73	195.57	7	0.57
73	115.89	60.61	9	1.07
74	159.13	38.62	6	0.97
75	42.55	13.33	6	1.63
76	96.43	169.64	6	0.82
77	129.87	137.75	6	1.01
78	67.32	148.54	7	1.65
79	164.44	94.73	8	0.66
80	175.74	191.01	6	1.48
81	64.07	18.86	9	0.7
Period: 7
Tasks:16
id	x	y	end	c
99	47.28	182.21	8	97.66
100	56.31	42.09	7	72.54
101	108.65	147.66	9	48.44
102	29.43	172.03	9	100.84
