Periods: 100
Task Arrival Rate: 10
Task Average Time: 3
Driver Arrival Rate: 15
Driver Average Time: 1
Period: 1
Tasks:12
id	x	y	end	c
1	73.48	140.31	7	48.25
2	122.04	36.9	3	66.84
3	145.15	6.64	2	103.7
4	27.67	165.73	2	97.73
5	98.01	106.42	3	6.72
6	64.2	197.27	3	103.65
7	3.62	105.1	6	96.51
8	127.28	128.93	3	39.76
9	166.98	51.92	3	82.45
10	47.04	81.88	4	55.97
11	9.16	94.5	2	91.01
12	179.69	4.22	3	124.6
Drivers: 15
id	x	y	end	sensitivity
1	113.89	142.55	2	1.58
2	67.69	130.54	3	1.56
3	135.65	133.09	1	0.61
4	192.8	191.58	2	1.53
5	176.65	18.46	1	1.29
6	174.31	100.28	3	1.29
7	80.92	126.94	2	1.32
8	161.23	166.44	1	1.9
9	191.24	116.19	3	1.97
10	42.13	3.09	2	0.52
11	15.9	105.98	3	2
12	47.24	102.9	1	1.09
13	14.65	188.56	1	0.81
14	36.42	29.05	2	0.51
15	22.93	196.62	2	0.61
Period: 2
Tasks:10
id	x	y	end	c
13	31.36	176.39	5	102.7
14	113.23	72.26	6	30.73
15	157.05	189.12	4	105.82
16	163.65	158.51	4	86.46
17	51.24	115.06	5	51.03
18	180.5	46.71	7	96.54
19	29.98	112.92	7	71.2
20	38.94	142.98	4	74.67
21	12.78	177.46	6	116.65
22	53.86	15.76	4	96.05
Drivers: 13
id	x	y	end	sensitivity
16	49.42	54.73	3	1.94
17	190.93	160.72	3	1.45
18	160.04	120.22	4	1.75
19	194.95	151.34	4	1.86
20	46.95	175.75	2	1.6
21	132.41	52.75	3	0.69
22	23.47	42.92	3	1.02
23	141.78	54.02	5	1.8
24	186.91	111.81	3	0.83
25	37.85	147.08	4	0.75
26	140.98	167.48	3	0.73
27	50.99	122.7	2	1.36
28	11.46	57.07	4	0.85
Period: 3
Tasks:14
id	x	y	end	c
23	15.54	7.44	5	125.3
24	160.83	180.82	5	101.15
25	116.09	115.22	7	22.15
26	184.95	195.14	6	127.55
27	47.41	76.82	7	57.47
28	46.84	43.71	6	77.42
29	48.66	33.23	8	84.23
30	23.21	30.79	4	103.38
31	196.45	87.87	5	97.21
32	92.66	110.38	7	12.71
33	110.13	43.4	3	57.5
34	8.04	60.3	4	100.16
35	11.7	128.87	6	92.9
36	71.02	107.38	7	29.9
Drivers: 14
id	x	y	end	sensitivity
29	98.32	120.97	3	1.3
30	88.55	104.47	3	1.09
31	181.5	155.46	4	1.41
32	90.91	55.69	4	1.02
33	47.15	119.31	3	1.24
34	179.79	174.73	5	1.09
35	133.3	155.9	4	0.97
36	135.93	76.92	5	0.72
37	124.17	2.76	4	1.56
38	196.02	56.88	4	1.13
39	51.47	18.54	3	1.93
40	111.82	60.39	5	0.83
41	10.36	39.8	5	1.59
42	5.04	89.16	7	1.21
Period: 4
Tasks:11
id	x	y	end	c
37	185.8	78.46	7	88.46
38	24	98.64	8	76.01
39	23.18	54.84	6	89.11
40	54.21	156.28	9	72.55
41	126.56	23.5	6	80.98
42	178.59	63.8	7	86.53
43	197.36	66.51	6	102.96
44	23.13	191.64	7	119.61
45	109.93	106.99	9	12.14
46	107.67	157.27	7	57.78
47	23.25	152.67	8	93.08
Drivers: 6
id	x	y	end	sensitivity
43	91.93	13.16	6	1.35
44	75.94	40.32	5	0.66
45	14.82	40.69	5	1.27
46	87.79	65.14	5	1.67
47	119.83	172.63	8	1.5
48	159.21	198.97	5	1.54
Period: 5
Tasks:13
id	x	y	end	c
48	40.83	180.43	6	99.85
49	67.51	174.22	9	81.02
50	71.22	67.71	7	43.25
51	142.23	115.33	7	44.93
52	82.93	178.84	9	80.67
53	147.4	143.43	9	64.29
54	133.04	113.17	7	35.57
55	16.79	35.84	8	105.07
56	183.19	132.38	9	89.27
57	112.7	115.26	5	19.85
58	136.62	116.98	5	40.37
59	80.06	32.78	8	70.12
60	89.86	20.08	7	80.56
Drivers: 14
id	x	y	end	sensitivity
49	110.74	55.36	5	1.19
50	141.43	184.8	6	1.31
51	51.39	108.57	5	1.9
52	159.4	186.41	7	1.9
53	13.41	38.37	7	1.86
54	165.03	65.83	7	0.87
55	199.71	45.13	6	1.14
56	196.83	149.37	5	1.64
57	28.91	42.69	7	0.86
58	174.01	24.19	8	1.34
59	191.49	0.71	5	1.38
60	128	27.47	7	1.1
61	124.24	189.97	6	1.53
62	112.97	86.5	6	1.61
Period: 6
Tasks:7
id	x	y	end	c
61	24.63	73.56	9	79.87
62	179.47	197.38	13	125.69
63	115.48	143.94	8	46.59
64	70.76	54.11	8	54.41
65	46.51	20.05	8	96.19
66	26.57	161.85	9	96.01
67	178.09	64.84	9	85.64
Drivers: 16
id	x	y	end	sensitivity
63	18.95	148.03	7	1.12
64	157.81	83.18	7	1.26
65	73.15	155.67	7	1.58
66	99.47	92.59	7	1.29
67	157.42	189.7	7	0.74
68	65.9	168.4	6	1.51
69	142.42	153.27	6	1.98
70	1.75	174.8	7	1.4
71	33.54	176	8	0.91
72	119.05	120.47	7	1.29
73	90.55	79.11	6	1.76
74	39.32	191.8	7	0.67
75	199.81	116.18	6	1.02
76	172.29	10.73	8	1.29
77	109.11	49.83	7	1.05
78	149.85	23.86	6	0.75
Period: 7
Tasks:7
id	x	y	end	c
68	82.48	145.21	9	48.49
69	13.09	194.35	11	128.28
70	17.73	142.4	8	92.55
71	142.39	197.16	9	106
72	39.28	68.54	11	68.39
73	99.33	114.74	8	14.76
74	89.14	34.49	9	66.4
Drivers: 18
id	x	y	end	sensitivity
79	179.89	106.82	7	0.93
80	30.97	99.08	8	0.91
81	181.59	39.15	7	0.68
82	125.21	29.51	8	0.94
83	102.84	149.71	7	1.3
84	37.99	189.5	7	1.29
85	39.96	146.99	8	1.1
86	79.66	29.9	8	1.27
87	51.51	157.11	7	1.49
88	187.83	194.87	10	0.79
89	46.56	53.48	8	0.63
90	158.85	60.64	7	0.51
91	33.07	115.36	9	1.51
92	155.73	167.97	9	1.55
93	9.35	166.49	7	0.5
94	174.97	33.28	7	0.78
95	149.25	109.9	7	0.89
96	123.34	90.74	8	1.78
Period: 8
Tasks:9
id	x	y	end	c
75	72.85	71.23	9	39.56
76	81.38	107.36	10	20.02
77	128.87	12.85	12	91.81
78	94.31	73.89	15	26.72
79	83.41	139.45	8	42.8
80	4.84	139.02	12	102.85
81	66.77	113.14	13	35.73
82	51.05	3.73	12	108
83	36.17	164.91	13	91.04
Drivers: 18
id	x	y	end	sensitivity
97	5.65	125.44	10	1.69
98	58.73	71.56	8	1.5
99	182.77	53.33	10	1.34
100	34.15	157.37	9	0.82
101	7.81	109.45	10	0.86
102	36.65	171.2	9	1.89
103	98.27	51.85	10	0.65
104	112.34	194.47	9	1.16
105	21.75	154.87	9	0.78
106	44.42	16.82	9	1.57
107	46.24	10.01	10	1.62
108	48.34	80.81	9	1.08
109	149.48	69.9	10	0.63
110	180.38	38.51	9	1.66
111	141.13	196.83	8	0.87
112	25.85	148.32	9	1.34
113	171.39	59.04	8	1.97
114	88.63	42.72	8	0.95
Period: 9
Tasks:8
id	x	y	end	c
84	29.37	5.22	12	118.2
85	77.69	80.51	10	29.62
86	17.82	121.83	12	85.03
87	135.4	118.82	13	40.09
88	97.43	35.03	11	65.02
