Periods: 100
Task Arrival Rate: 15
Task Average Time: 2
Driver Arrival Rate: 10
Driver Average Time: 2
Period: 1
Tasks:18
id	x	y	end	c
1	92.84	43.82	3	56.63
2	187.2	163.97	5	108.15
3	71.46	95.29	3	28.93
4	87.57	89.3	2	16.4
5	105.59	66	2	34.46
6	86.88	59.1	1	42.95
7	13.21	177.54	3	116.38
8	107.54	71.86	4	29.13
9	115.65	33.29	5	68.52
10	158.71	141.78	2	72.06
11	192.78	164.42	3	112.95
12	9.16	139.18	3	98.93
13	51.88	110	2	49.15
14	48.86	62.48	1	63.43
15	185.99	63.94	3	93.24
16	12.3	6.48	4	128.21
17	62.81	103.35	1	37.34
18	90.39	103.79	3	10.33
Drivers: 16
id	x	y	end	sensitivity
1	187.5	27.11	4	0.52
2	34.58	4.31	2	1.55
3	156.03	147.57	3	1.82
4	103.11	168.59	3	0.83
5	157.04	73.29	6	1.21
6	89.67	91.42	3	1.35
7	108	153.47	1	0.59
8	0.01	193.99	3	0.97
9	30.77	195.73	3	1.57
10	97.22	47.58	2	0.82
11	89.19	69.05	2	1.63
12	102.79	148.15	2	0.96
13	188.18	19.62	3	1.12
14	198.65	124.21	3	1.02
15	175.68	95.67	4	1.39
16	116.54	48.59	7	0.86
Period: 2
Tasks:15
id	x	y	end	c
19	157.98	99.12	3	57.99
20	96.74	103.96	5	5.13
21	57	15.4	4	94.9
22	63.1	154.82	3	66.08
23	189.45	90.39	4	89.96
24	33.1	177.56	6	102.43
25	195.23	37.53	5	113.89
26	0.8	194.87	3	137.26
27	198.64	174.93	5	123.87
28	116.13	115.05	3	22.06
29	68.37	109.44	4	33.01
30	43.53	52.16	5	74.01
31	48.91	28.27	5	88.06
32	6.33	98.18	4	93.69
33	121.23	85.09	2	25.94
Drivers: 12
id	x	y	end	sensitivity
17	8.81	3.02	3	0.68
18	15.24	165.54	6	0.73
19	27.63	96.26	5	1.17
20	166.58	5.65	8	1.65
21	89.74	66.3	3	1.55
22	20.26	42.8	2	0.8
23	78.03	42.92	4	1.97
24	198.16	147.98	5	1.09
25	8.06	23.86	4	1.13
26	81.02	17.58	3	1.66
27	25.23	191.88	6	1.83
28	55.65	20.49	3	0.89
Period: 3
Tasks:10
id	x	y	end	c
34	134.62	179.41	3	86.63
35	7.96	182.2	4	123.4
36	80.83	140.12	5	44.46
37	178.35	170.88	6	105.65
38	65.29	2.32	3	103.66
39	60.84	186.94	5	95.35
40	199.17	6.97	5	135.98
41	177.81	187.52	7	117.11
42	184.92	34.89	3	107.01
43	0.33	99.29	10	99.67
Drivers: 11
id	x	y	end	sensitivity
29	153.46	23.35	5	1.65
30	104.74	45.82	4	1.83
31	68.43	60.47	6	1.69
32	47.03	27.45	4	0.8
33	62.63	147.95	4	1.47
34	92.7	76.09	4	0.73
35	149.22	110.1	4	1.45
36	98.34	138.97	5	1.37
37	123.3	67.51	6	1.53
38	110.32	38.27	4	0.62
39	187.44	81.55	4	1.62
Period: 4
Tasks:16
id	x	y	end	c
44	89.87	23.92	5	76.75
45	147.95	184.59	5	97.24
46	55.58	195.44	5	105.27
47	83.01	1.85	8	99.61
48	7.92	180.6	5	122.37
49	173.68	138	6	82.9
50	126.43	143.11	5	50.57
51	183.32	191.22	4	123.54
52	155.61	174.96	9	93.34
53	173.13	195.08	8	119.95
