Periods: 100
Task Arrival Rate: 5
Task Average Time: 2
Driver Arrival Rate: 15
Driver Average Time: 3
Period: 1
Tasks:5
id	x	y	end	c
1	196.29	50.89	2	108.09
2	158.24	6.94	3	109.78
3	118.97	130.35	1	35.79
4	135.38	4.47	3	101.87
5	60.46	145.1	4	59.98
Drivers: 18
id	x	y	end	sensitivity
1	137.57	120.01	2	1.97
2	17.44	105.04	3	1.02
3	78.17	162.92	5	1.88
4	98.21	19.7	3	0.92
5	198.15	122.75	6	1.15
6	89.89	103.97	3	1.01
7	54.43	199.54	4	1.71
8	86.75	17.98	5	1.98
9	79.88	106.62	4	1.83
10	79.77	78.58	4	0.51
11	106.9	20.76	4	1.49
12	40.38	148.74	8	1.11
13	157.3	172.38	3	1.81
14	10.55	59.35	4	1.08
15	7.13	8.33	3	1.82
16	126.12	148.56	5	0.92
17	188.35	34.07	5	1.69
18	1.54	83.77	8	1.21
Period: 2
Tasks:3
id	x	y	end	c
6	166.38	108.49	5	66.92
7	22.48	142.37	4	88.34
8	180.18	102.73	3	80.23
Drivers: 23
id	x	y	end	sensitivity
19	84.53	36.81	6	0.98
20	120.84	134.85	5	1.12
21	78.62	17.07	4	1.74
22	105.57	44.81	3	1.65
23	132.63	149.58	3	0.64
24	119.15	102.21	4	0.83
25	13.05	71.6	7	1.62
26	77.24	88.87	4	0.69
27	178.04	107.91	5	0.86
28	44.73	126.99	5	1.25
29	68.3	157.57	3	1.57
30	8.43	90.25	7	0.88
31	6.12	59.54	3	1.01
32	188.6	122.47	4	1.49
33	73.94	191.68	5	1.91
34	62.13	132.37	7	1.44
35	190.41	150.8	5	1.8
36	135	142.7	3	1.6
37	134.53	61.61	5	1.6
38	146.57	109.3	2	0.68
39	126.19	73.08	3	1.73
40	131.51	57.15	4	1.38
41	178.27	30.94	6	1.24
Period: 3
Tasks:9
id	x	y	end	c
9	185.39	112.38	4	86.28
10	44.11	166.52	3	86.88
11	21.04	106.8	5	79.25
12	112.15	161.78	8	62.96
13	192.24	123.7	3	95.24
14	96.31	182.87	7	82.95
15	19.78	110.01	5	80.84
16	124.35	104.47	9	24.76
17	83.39	43.27	7	59.11
Drivers: 16
id	x	y	end	sensitivity
42	132.22	199.51	4	1.34
43	3.21	125.47	10	1.54
44	145.72	159.74	6	0.86
45	141.34	198.84	5	0.51
46	125.88	28.83	6	1.87
47	193.64	94.94	7	1.8
48	87.28	92.13	9	0.72
49	28.2	165.19	6	0.7
50	177.56	151.54	8	0.86
51	83.78	100.73	4	1.83
52	120.47	1.31	4	1.05
53	177.37	31.31	6	1.22
54	177.92	150.7	3	1.46
55	153.76	184.16	5	0.86
56	120.36	141.86	5	1.9
57	132.57	170.18	5	1.58
Period: 4
Tasks:10
id	x	y	end	c
18	71.53	189.6	5	94.01
19	188.25	190.11	5	126.13
20	81.17	190.78	8	92.71
21	27.39	136.2	6	81.13
22	75.88	124.12	7	34.11
23	67.21	155.63	9	64.57
24	24.1	64.74	7	83.69
25	181.91	19.06	5	115.15
26	189.05	6.37	7	129.21
27	116.05	74.78	5	29.89
Drivers: 21
id	x	y	end	sensitivity
58	145.43	147.03	5	0.82
59	12.25	196.72	7	0.94
60	181.45	142.8	9	1.67
61	175.83	195.35	6	1.35
62	180.37	35.97	8	0.61
63	199.93	110.19	8	1.9
64	160.47	158.71	7	1.93
65	17.26	168.31	6	0.61
66	189.38	8.36	4	1.92
67	59.55	158.38	7	1.51
68	190.41	139.79	9	1.65
69	4.44	30.36	6	1.84
70	99.8	192.96	7	1.27
71	22.65	45.25	7	0.52
72	105.15	59.58	6	1.56
73	129.16	100.02	6	1.58
74	158.63	105.31	7	1.18
75	93.04	3.31	10	0.99
76	78.17	130.6	9	1.46
77	48.48	10.76	7	0.55
78	106	43.69	4	1.99
Period: 5
Tasks:7
id	x	y	end	c
28	193.54	57.36	5	102.8
29	29.83	54.5	6	83.63
30	82.28	125	9	30.64
31	58.98	186.78	11	95.99
