Periods: 100
Task Arrival Rate: 10
Task Average Time: 3
Driver Arrival Rate: 15
Driver Average Time: 3
Period: 1
Tasks:9
id	x	y	end	c
1	29.13	7.25	6	116.73
2	15.63	61.13	3	92.89
3	39.81	78.27	6	63.99
4	190.01	100	4	90.01
5	30.91	104.54	4	69.24
6	114.67	10.12	4	91.07
7	198.55	66.44	3	104.11
8	101.64	160.09	8	60.11
9	195.17	78.46	3	97.58
Drivers: 19
id	x	y	end	sensitivity
1	115.96	143.99	3	1.81
2	123.06	105.86	5	1.37
3	120.48	81.5	3	1.27
4	110.81	173.5	5	1.47
5	27.48	22.21	5	1.03
6	192.06	193.97	2	1.8
7	4.47	18.26	4	1.68
8	115.92	95.85	2	1.44
9	69.3	109.23	3	1.44
10	175.01	152.51	6	1.18
11	73.04	174.42	2	1.29
12	114.39	122.66	1	1.82
13	132.3	5.82	5	1.6
14	164.28	178.93	3	1.64
15	22.27	124.89	4	1.24
16	139.92	147.55	2	1.72
17	10.62	184.15	5	0.74
18	95.95	47.91	2	1.36
19	140.72	28.64	4	1.96
Period: 2
Tasks:14
id	x	y	end	c
10	131.53	36.19	4	71.17
11	103.33	30.4	6	69.68
12	91.07	18.1	5	82.39
13	17.3	189.29	5	121.7
14	119.98	34.24	5	68.73
15	120.14	137.72	6	42.76
16	46.04	110.64	4	55
17	43.45	139.52	7	68.99
18	91.32	97.94	4	8.92
19	84.95	97.13	3	15.32
20	185.1	161.56	6	105.03
21	114.25	194.67	6	95.74
22	64.65	41.34	5	68.49
23	51.4	166.45	6	82.33
Drivers: 14
id	x	y	end	sensitivity
20	90.04	194.61	4	0.73
21	66.38	29.22	6	0.91
22	48.82	47.13	4	1.86
23	154.68	58.43	5	1.5
24	188.78	17.47	4	1.67
25	166.72	21.4	3	1.19
26	139.53	113.3	6	1.57
27	39.49	109.21	4	1.54
28	109.31	84.1	5	0.84
29	177.06	17.62	4	1.92
30	14.64	47.08	8	0.78
31	83.92	15.67	9	0.53
32	109.62	146	6	1.69
33	28.99	153.13	5	0.59
Period: 3
Tasks:13
id	x	y	end	c
24	56.13	23.55	3	88.14
25	175.86	182.31	5	111.94
26	1.22	109.52	6	99.24
27	91.11	103.36	4	9.5
28	84.09	90.53	5	18.52
29	46.58	82.07	4	56.35
30	0.43	28.67	8	122.48
31	197.38	167.48	3	118.48
32	189.58	120.87	5	91.98
33	171.9	159.39	8	93.26
34	100.54	188.01	5	88.01
35	178.15	94.68	6	78.33
36	90.07	49.93	7	51.05
Drivers: 16
id	x	y	end	sensitivity
34	65.37	21.1	6	0.72
35	41.92	83.39	4	1.26
36	75.7	133.8	6	1.31
37	22.03	25.7	6	0.68
38	111.04	56.08	6	1.43
39	181.32	11.38	7	1.92
40	47.11	195.07	8	1.21
