Periods: 100
Task Arrival Rate: 15
Task Average Time: 1
Driver Arrival Rate: 10
Driver Average Time: 2
Period: 1
Tasks:13
id	x	y	end	c
1	56.87	32.06	2	80.47
2	6.8	0.5	4	136.33
3	87.53	141.6	2	43.43
4	117.2	23.34	1	78.57
5	69.26	140.66	2	50.97
6	180.22	176.42	1	110.79
7	142.68	26.58	3	84.92
8	197.37	198.84	1	138.75
9	53.33	4.75	2	106.07
10	146.75	69.35	2	55.9
11	146.4	137.33	1	59.55
12	78.35	45.4	3	58.74
13	96.78	117.5	2	17.79
Drivers: 13
id	x	y	end	sensitivity
1	0.82	66.77	3	1.99
2	3.18	7.17	4	0.87
3	138.55	87.03	3	1.32
4	46.54	185.15	4	1.56
5	73.18	167.68	1	1.46
6	193.31	28.31	2	0.75
7	144.6	182.33	1	1.68
8	55.45	150.99	2	1.94
9	53.57	3.86	5	0.81
10	112.79	68.16	3	1.17
11	16.26	6.51	4	0.81
12	93.79	86.46	3	1.13
13	28.61	75.94	4	0.81
Period: 2
Tasks:11
id	x	y	end	c
14	103.28	121.53	2	21.78
15	142.39	20.85	3	89.79
16	16.58	72.97	2	87.69
17	40.28	67.13	3	68.17
18	197.68	157.06	2	113.12
19	52.59	110.66	2	48.59
20	186.41	79.91	2	88.71
21	55.97	192.09	3	102.07
22	110.85	190.15	3	90.8
23	34.36	90.34	4	66.35
24	78.42	108.81	2	23.31
Drivers: 14
id	x	y	end	sensitivity
14	146.56	49.82	2	0.99
15	19.79	47.86	2	1.36
16	67.18	137.26	4	1.62
17	9.18	46.86	2	0.67
18	126.44	17.97	5	0.9
19	13.75	21.91	3	1.62
20	143.29	71.65	5	1.87
21	101.38	97.23	3	1.37
22	54.49	131.57	4	1.68
23	75.29	139.3	3	0.69
24	158.6	62.72	5	0.95
25	121.72	77.97	5	1.16
26	119.47	70.77	3	1.06
27	117.23	67.59	3	0.72
Period: 3
Tasks:17
id	x	y	end	c
25	179.46	90.36	3	80.04
26	149.35	162.41	6	79.56
27	93.06	43.17	4	57.25
28	121.26	82.01	4	27.85
29	152.27	30.05	6	87.32
30	189.27	126.87	5	93.23
31	12.44	38.96	4	106.74
32	81.29	169.91	5	72.37
33	18.32	125.54	3	85.58
34	39.25	122.99	4	64.95
35	71.94	172.84	4	78.06
36	94.24	186.47	4	86.66
37	132.15	13.6	5	92.19
38	156.78	190.37	4	106.73
39	23.48	79.04	3	79.34
40	24.35	13.92	3	114.6
41	26.94	118.61	4	75.39
Drivers: 9
